NormalisedSpecificDisease,PhenotypicSeriesNumber,PhenotypicSeriesName,Phenotype,PhenotypeMIM,GeneSymbol,GeneMIM,Check_RTL,Comments_RTL,Check_DC,Comments_DC
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"Amyotrophic lateral sclerosis 10, with or without FTD",612069,TARDBP,605078,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"Frontotemporal lobar degeneration, TARDBP-related",612069,TARDBP,605078,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"{Amyotrophic lateral sclerosis, susceptibility to}",105400,DCTN1,601143,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"Amyotrophic lateral sclerosis 2, juvenile",205100,ALS2,606352,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 19,615515,ERBB4,600543,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia,616208,TUBA4A,191110,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 17,614696,CHMP2B,609512,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"{Amyotrophic lateral sclerosis, susceptibility to, 24}",617892,NEK1,604588,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 21,606070,MATR3,164015,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Frontotemporal dementia and/or amyotrophic lateral sclerosis 3,616437,SQSTM1,601530,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 11,612577,FIG4,609390,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Frontotemporal dementia and/or amyotrophic lateral sclerosis 1,105550,C9orf72,614260,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"?Amyotrophic lateral sclerosis 16, juvenile",614373,SIGMAR1,601978,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"Amyotrophic lateral sclerosis 14, with or without frontotemporal dementia",613954,VCP,601023,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"Amyotrophic lateral sclerosis 4, juvenile",602433,SETX,608465,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 12,613435,OPTN,602432,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amytrophic lateral sclerosis 23,617839,ANXA11,602572,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"{Amyotrophic lateral sclerosis, susceptibility to}",105400,PRPH,170710,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 20,615426,HNRNPA1,164017,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"{Amyotrophic lateral sclerosis, susceptibility to, 25}",617921,KIF5A,602821,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Frontotemporal dementia and/or amyotrophic lateral sclerosis 4,616439,TBK1,604834,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"{Amyotrophic lateral sclerosis, susceptibility to, 13}",183090,ATXN2,601517,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Spinocerebellar ataxia 2,183090,ATXN2,601517,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 9,611895,ANG,105850,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"Amyotrophic lateral sclerosis 5, juvenile",602099,SPG11,610844,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia",608030,FUS,137070,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 18,614808,PFN1,176610,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 3,606640,NA,606640,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 7,608031,NA,608031,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 8,608627,VAPB,605704,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis 1,105400,SOD1,147450,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,Frontotemporal dementia and/or amyotrophic lateral sclerosis 2,615911,CHCHD10,615903,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"?{Amyotrophic lateral sclerosis, susceptibility to}",105400,NEFH,162230,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia",300857,UBQLN2,300264,1,NA,NA,NA
Amyotrophic lateral sclerosis or motor neuron disease,PS105400,Amyotrophic lateral sclerosis,"Amyotrophic lateral sclerosis, juvenile, with dementia",205200,NA,205200,1,NA,NA,NA
Anophthalmia or microphthalmia,PS251600,"Microphthalmia, isolated","Microphthalmia, isolated 6",613517,PRSS56,613858,1,NA,NA,NA
Anophthalmia or microphthalmia,PS251600,"Microphthalmia, isolated","Microphthalmia, isolated 4",613094,GDF6,601147,1,NA,NA,NA
Anophthalmia or microphthalmia,PS251600,"Microphthalmia, isolated","Microphthalmia, isolated 5",611040,MFRP,606227,1,NA,NA,NA
Anophthalmia or microphthalmia,PS251600,"Microphthalmia, isolated","Microphthalmia, isolated 7",613704,GDF3,606522,1,NA,NA,NA
Anophthalmia or microphthalmia,PS251600,"Microphthalmia, isolated","Microphthalmia, isolated 2",610093,VSX2,142993,1,NA,NA,NA
Anophthalmia or microphthalmia,PS251600,"Microphthalmia, isolated","Microphthalmia, isolated 1",251600,NA,251600,1,NA,NA,NA
Anophthalmia or microphthalmia,PS251600,"Microphthalmia, isolated","Microphthalmia, isolated 8",615113,ALDH1A3,600463,1,NA,NA,NA
Anophthalmia or microphthalmia,PS251600,"Microphthalmia, isolated","Microphthalmia, isolated 3",611038,RAX,601881,1,NA,NA,NA
